지점,지점명,일시,평균기온(°C)
108,서울,1926-09,20.3
108,서울,1926-10,11.5
108,서울,1926-11,6.3
108,서울,1926-12,-4
108,서울,1927-01,-4.1
108,서울,1927-02,-2.9
108,서울,1927-03,3.4
108,서울,1927-04,11.7
108,서울,1927-05,13.8
108,서울,1927-06,21.2
108,서울,1927-07,25.7
108,서울,1927-08,25
108,서울,1927-09,19.6
108,서울,1927-10,12.8
108,서울,1927-11,7.7
108,서울,1927-12,-2
108,서울,1928-01,-5.2
108,서울,1928-02,-2.3
108,서울,1928-03,4.1
108,서울,1928-04,12.1
108,서울,1928-05,16.5
108,서울,1928-06,21.5
108,서울,1928-07,25
108,서울,1928-08,25.7
108,서울,1928-09,20.3
108,서울,1928-10,12.3
108,서울,1928-11,5.2
108,서울,1928-12,-1.9
108,서울,1929-01,-4.8
108,서울,1929-02,-2.8
108,서울,1929-03,4.4
108,서울,1929-04,10.4
108,서울,1929-05,16.7
108,서울,1929-06,22.9
108,서울,1929-07,25.9
108,서울,1929-08,26.2
108,서울,1929-09,18.8
108,서울,1929-10,12.8
108,서울,1929-11,4.9
108,서울,1929-12,1.5
108,서울,1930-01,-4.5
108,서울,1930-02,.9
108,서울,1930-03,6.3
108,서울,1930-04,12.5
108,서울,1930-05,16.7
108,서울,1930-06,21.4
108,서울,1930-07,25.5
108,서울,1930-08,26.4
108,서울,1930-09,19.5
108,서울,1930-10,14
108,서울,1930-11,3.1
108,서울,1930-12,-.8
108,서울,1931-01,-3.9
108,서울,1931-02,-2.7
108,서울,1931-03,4.7
108,서울,1931-04,8.8
108,서울,1931-05,16.3
108,서울,1931-06,21.4
108,서울,1931-07,22.4
108,서울,1931-08,25
108,서울,1931-09,20
108,서울,1931-10,11.9
108,서울,1931-11,7.7
108,서울,1931-12,-1
108,서울,1932-01,-.6
108,서울,1932-02,-1.4
108,서울,1932-03,2.8
108,서울,1932-04,9.9
108,서울,1932-05,17
108,서울,1932-06,21.7
108,서울,1932-07,25.9
